acc_x,acc_y,acc_z
0.312,0.1,0.922
0.312,0.1,0.922
0.348,-0.037,0.804
0.348,-0.037,0.804
0.348,-0.037,0.804
0.428,-0.138,0.851
0.428,-0.138,0.851
0.428,-0.138,0.851
0.471,-0.178,0.977
0.471,-0.178,0.977
0.471,-0.178,0.977
0.439,-0.178,1.026
0.439,-0.178,1.026
0.439,-0.178,1.026
0.365,-0.146,1.006
0.365,-0.146,1.006
0.365,-0.146,1.006
0.306,-0.132,0.974
0.306,-0.132,0.974
0.306,-0.132,0.974
0.321,-0.152,0.951
0.321,-0.152,0.951
0.321,-0.152,0.951
0.361,-0.218,0.909
0.361,-0.218,0.909
0.361,-0.218,0.909
0.397,-0.319,0.868
0.397,-0.319,0.868
0.397,-0.319,0.868
0.431,-0.369,0.876
0.431,-0.369,0.876
0.431,-0.369,0.876
0.323,-0.37,0.901
0.323,-0.37,0.901
0.323,-0.37,0.901
0.228,-0.363,0.918
0.228,-0.363,0.918
0.228,-0.363,0.918
0.211,-0.375,0.95
0.211,-0.375,0.95
0.211,-0.375,0.95
0.174,-0.382,0.937
0.174,-0.382,0.937
0.174,-0.382,0.937
0.182,-0.385,0.867
0.182,-0.385,0.867
0.182,-0.385,0.867
0.2,-0.42,0.815
0.2,-0.42,0.815
0.2,-0.42,0.815
0.217,-0.442,0.804
0.217,-0.442,0.804
0.217,-0.442,0.804
0.229,-0.429,0.804
0.229,-0.429,0.804
0.229,-0.429,0.804
0.217,-0.402,0.812
0.217,-0.402,0.812
0.217,-0.402,0.812
0.187,-0.329,0.842
0.187,-0.329,0.842
0.187,-0.329,0.842
0.191,-0.219,0.884
0.191,-0.219,0.884
0.191,-0.219,0.884
0.28,-0.133,0.929
0.28,-0.133,0.929
0.28,-0.133,0.929
0.351,-0.043,0.982
0.351,-0.043,0.982
0.351,-0.043,0.982
0.346,0.084,1.066
0.346,0.084,1.066
0.346,0.084,1.066
0.303,0.237,1.158
0.303,0.237,1.158
0.303,0.237,1.158
0.328,0.34,1.212
0.328,0.34,1.212
0.328,0.34,1.212
0.337,0.342,1.192
0.337,0.342,1.192
0.337,0.342,1.192
0.398,0.251,1.096
0.398,0.251,1.096
0.398,0.251,1.096
0.406,0.144,0.991
0.406,0.144,0.991
0.406,0.144,0.991
0.422,0.015,0.915
0.422,0.015,0.915
0.422,0.015,0.915
0.44,-0.1,0.903
0.44,-0.1,0.903
0.44,-0.1,0.903
0.457,-0.159,0.931
0.457,-0.159,0.931
0.457,-0.159,0.931
0.43,-0.164,0.985
0.43,-0.164,0.985
0.43,-0.164,0.985
0.413,-0.154,1.033
0.413,-0.154,1.033
0.413,-0.154,1.033
0.337,-0.163,1.02
0.337,-0.163,1.02
0.337,-0.163,1.02
0.214,-0.181,0.946
0.214,-0.181,0.946
0.214,-0.181,0.946
0.149,-0.27,0.883
0.149,-0.27,0.883
0.149,-0.27,0.883
0.176,-0.331,0.874
0.176,-0.331,0.874
0.176,-0.331,0.874
0.196,-0.371,0.902
0.196,-0.371,0.902
0.196,-0.371,0.902
0.234,-0.425,0.921
0.365,0.12,1.001
0.365,0.12,1.001
0.365,0.12,1.001
0.344,0.018,0.907
0.344,0.018,0.907
0.344,0.018,0.907
0.46,-0.079,0.827
0.46,-0.079,0.827
0.46,-0.079,0.827
0.59,-0.152,0.917
0.59,-0.152,0.917
0.59,-0.152,0.917
0.672,-0.189,0.99
0.672,-0.189,0.99
0.672,-0.189,0.99
0.7,-0.185,0.987
0.7,-0.185,0.987
0.7,-0.185,0.987
0.52,-0.228,0.922
0.52,-0.228,0.922
0.52,-0.228,0.922
0.379,-0.279,0.827
0.379,-0.279,0.827
0.379,-0.279,0.827
0.261,-0.331,0.794
0.261,-0.331,0.794
0.261,-0.331,0.794
0.148,-0.364,0.826
0.148,-0.364,0.826
0.148,-0.364,0.826
0.117,-0.371,0.904
0.117,-0.371,0.904
0.117,-0.371,0.904
0.102,-0.406,0.931
