acc_x,acc_y,acc_z
0.274,-0.313,0.964
0.25,-0.365,0.925
0.25,-0.365,0.925
0.25,-0.365,0.925
0.282,-0.332,0.899
0.282,-0.332,0.899
0.282,-0.332,0.899
0.293,-0.22,0.956
0.293,-0.22,0.956
0.293,-0.22,0.956
0.241,-0.073,1.052
0.241,-0.073,1.052
0.241,-0.073,1.052
0.158,0.051,1.101
0.158,0.051,1.101
0.158,0.051,1.101
0.085,0.116,1.094
0.085,0.116,1.094
0.085,0.116,1.094
0.026,0.129,1.06
0.026,0.129,1.06
0.026,0.129,1.06
0.064,0.09,1.042
0.064,0.09,1.042
0.064,0.09,1.042
0.1,0.016,1.016
0.1,0.016,1.016
0.1,0.016,1.016
0.166,-0.027,0.985
0.166,-0.027,0.985
0.166,-0.027,0.985
0.234,-0.041,0.976
0.234,-0.041,0.976
0.234,-0.041,0.976
0.256,-0.021,0.988
0.256,-0.021,0.988
0.256,-0.021,0.988
0.242,-0.009,0.999
0.242,-0.009,0.999
0.242,-0.009,0.999
0.253,-0.036,1.005
0.253,-0.036,1.005
0.253,-0.036,1.005
0.268,-0.047,1.008
0.268,-0.047,1.008
0.268,-0.047,1.008
0.289,-0.023,1.027
0.289,-0.023,1.027
0.289,-0.023,1.027
0.286,0.006,1.05
0.286,0.006,1.05
0.286,0.006,1.05
0.239,0.063,1.075
0.239,0.063,1.075
0.239,0.063,1.075
0.185,0.112,1.092
0.185,0.112,1.092
0.185,0.112,1.092
0.174,0.11,0.974
0.174,0.11,0.974
0.174,0.11,0.974
0.17,0.028,0.95
0.17,0.028,0.95
0.17,0.028,0.95
0.221,-0.174,1.002
0.221,-0.174,1.002
0.221,-0.174,1.002
0.367,-0.257,1.043
0.367,-0.257,1.043
0.367,-0.257,1.043
0.291,-0.241,1.05
0.291,-0.241,1.05
0.291,-0.241,1.05
0.053,-0.263,1.013
0.053,-0.263,1.013
0.053,-0.263,1.013
-0.155,-0.411,0.955
-0.155,-0.411,0.955
-0.155,-0.411,0.955
-0.114,-0.468,0.932
0.228,-0.203,0.997
0.228,-0.203,0.997
0.228,-0.203,0.997
0.087,-0.161,0.996
0.087,-0.161,0.996
0.087,-0.161,0.996
-0.041,-0.106,0.96
-0.041,-0.106,0.96
-0.041,-0.106,0.96
-0.05,-0.102,0.966
-0.05,-0.102,0.966
-0.05,-0.102,0.966
0.016,-0.126,1.024
0.016,-0.126,1.024
0.016,-0.126,1.024
0.104,-0.182,1.059
0.104,-0.182,1.059
0.104,-0.182,1.059
0.177,-0.177,1.021
0.177,-0.177,1.021
0.177,-0.177,1.021
0.193,-0.136,0.976
0.193,-0.136,0.976
0.193,-0.136,0.976
0.132,-0.053,1.008
0.132,-0.053,1.008
0.132,-0.053,1.008
0.105,0.052,1.077
0.105,0.052,1.077
0.105,0.052,1.077
0.092,0.144,1.08
0.092,0.144,1.08
0.092,0.144,1.08
0.062,0.191,1.039
0.062,0.191,1.039
0.062,0.191,1.039
0.069,0.134,1.032
0.069,0.134,1.032
0.069,0.134,1.032
0.114,0.044,1.041
0.114,0.044,1.041
0.114,0.044,1.041
0.224,0.037,1.039
0.224,0.037,1.039
0.224,0.037,1.039
0.307,0.051,1.043
0.307,0.051,1.043
0.307,0.051,1.043
0.239,0.085,1.069
0.239,0.085,1.069
0.239,0.085,1.069
0.053,0.107,1.094
0.053,0.107,1.094
0.053,0.107,1.094
0.039,0.118,1.018
0.039,0.118,1.018
0.039,0.118,1.018
0.057,0.101,0.923
0.057,0.101,0.923
0.057,0.101,0.923
0.096,0.02,0.875
0.096,0.02,0.875
0.096,0.02,0.875
0.263,-0.052,0.997
0.263,-0.052,0.997
0.263,-0.052,0.997
0.413,-0.163,1.128
0.413,-0.163,1.128
0.413,-0.163,1.128
0.291,-0.357,1.101
0.291,-0.357,1.101
0.291,-0.357,1.101
0.098,-0.494,0.96
0.098,-0.494,0.96
0.098,-0.494,0.96
-0.045,-0.514,0.836
-0.045,-0.514,0.836
-0.045,-0.514,0.836
-0.005,-0.511,0.83
-0.005,-0.511,0.83
-0.005,-0.511,0.83
0.103,-0.504,0.91
0.103,-0.504,0.91
0.103,-0.504,0.91
0.315,-0.447,0.972
0.315,-0.447,0.972
0.315,-0.447,0.972
0.345,-0.327,0.999
0.345,-0.327,0.999
0.345,-0.327,0.999
0.264,-0.162,1.04
0.264,-0.162,1.04
0.264,-0.162,1.04
0.106,0.0,0.979
0.106,0.0,0.979
0.106,0.0,0.979
0.102,0.109,0.939
0.102,0.109,0.939
0.102,0.109,0.939
0.214,0.131,0.981
0.214,0.131,0.981
0.214,0.131,0.981
0.201,0.086,1.006
0.201,0.086,1.006
0.201,0.086,1.006
0.167,0.02,1.034
0.167,0.02,1.034
0.167,0.02,1.034
0.104,-0.068,1.035
0.104,-0.068,1.035
0.104,-0.068,1.035
0.024,-0.131,0.977
0.024,-0.131,0.977
0.024,-0.131,0.977
0.027,-0.187,0.928
0.027,-0.187,0.928
0.027,-0.187,0.928
0.104,-0.204,0.956
0.104,-0.204,0.956
0.104,-0.204,0.956
0.137,-0.195,1.022
0.137,-0.195,1.022
0.137,-0.195,1.022
0.161,-0.172,1.071
0.161,-0.172,1.071
0.161,-0.172,1.071
0.172,-0.141,1.065
0.172,-0.141,1.065
0.172,-0.141,1.065
0.163,-0.067,1.015
0.163,-0.067,1.015
0.163,-0.067,1.015
0.097,0.037,0.993
0.097,0.037,0.993
0.097,0.037,0.993
0.067,0.113,1.021
0.067,0.113,1.021
0.067,0.113,1.021
0.095,0.159,1.057
0.095,0.159,1.057
0.095,0.159,1.057
0.094,0.159,1.053
0.094,0.159,1.053
0.094,0.159,1.053
0.069,0.099,1.023
0.069,0.099,1.023
0.069,0.099,1.023
0.104,0.064,0.997
0.104,0.064,0.997
0.104,0.064,0.997
0.124,0.052,0.978
0.124,0.052,0.978
0.124,0.052,0.978
0.132,-0.013,0.961
0.132,-0.013,0.961
0.132,-0.013,0.961
0.208,-0.077,0.969
0.208,-0.077,0.969
0.208,-0.077,0.969
0.273,-0.056,1.03
0.273,-0.056,1.03
0.273,-0.056,1.03
0.264,0.006,1.072
0.264,0.006,1.072
0.264,0.006,1.072
0.239,0.045,1.068
0.239,0.045,1.068
0.239,0.045,1.068
0.17,0.091,1.028
0.17,0.091,1.028
0.17,0.091,1.028
0.121,0.132,1.012
0.121,0.132,1.012
0.121,0.132,1.012
0.145,0.124,1.018
0.145,0.124,1.018
0.145,0.124,1.018
0.181,0.114,1.033
0.181,0.114,1.033
0.181,0.114,1.033
0.176,0.033,1.059
0.176,0.033,1.059
0.176,0.033,1.059
0.266,-0.197,1.05
0.266,-0.197,1.05
0.266,-0.197,1.05
0.282,-0.355,0.969
0.282,-0.355,0.969
0.282,-0.355,0.969
0.214,-0.4,0.909
0.214,-0.4,0.909
0.214,-0.4,0.909
0.051,-0.469,0.891
0.051,-0.469,0.891
0.051,-0.469,0.891
0.013,-0.464,0.922
0.013,-0.464,0.922
0.013,-0.464,0.922
0.066,-0.429,0.954
0.066,-0.429,0.954
0.066,-0.429,0.954
0.212,-0.401,0.974
0.212,-0.401,0.974
0.212,-0.401,0.974
0.448,-0.34,1.01
0.448,-0.34,1.01
0.448,-0.34,1.01
0.489,-0.204,1.024
0.489,-0.204,1.024
0.489,-0.204,1.024
0.189,-0.055,0.972
0.189,-0.055,0.972
0.189,-0.055,0.972
0.024,0.087,0.944
0.024,0.087,0.944
0.024,0.087,0.944
0.042,0.17,0.989
0.042,0.17,0.989
0.042,0.17,0.989
0.126,0.154,1.02
0.126,0.154,1.02
0.126,0.154,1.02
0.179,0.09,1.013
0.179,0.09,1.013
0.179,0.09,1.013
0.139,0.04,1.008
0.139,0.04,1.008
0.139,0.04,1.008
0.024,0.035,0.982
0.024,0.035,0.982
0.024,0.035,0.982
-0.04,0.009,0.962
-0.04,0.009,0.962
-0.04,0.009,0.962
0.065,-0.015,1.002
0.065,-0.015,1.002
0.065,-0.015,1.002
0.192,-0.051,1.063
0.192,-0.051,1.063
0.192,-0.051,1.063
0.16,-0.1,1.071
0.16,-0.1,1.071
0.16,-0.1,1.071
0.135,-0.144,1.037
0.135,-0.144,1.037
0.135,-0.144,1.037
0.114,-0.156,1.006
0.114,-0.156,1.006
0.114,-0.156,1.006
0.137,-0.169,0.987
0.137,-0.169,0.987
0.137,-0.169,0.987
0.127,-0.192,0.988
0.127,-0.192,0.988
0.127,-0.192,0.988
0.092,-0.181,1.001
0.092,-0.181,1.001
0.092,-0.181,1.001
0.069,-0.159,0.988
0.069,-0.159,0.988
0.069,-0.159,0.988
0.078,-0.114,0.962
0.078,-0.114,0.962
0.078,-0.114,0.962
0.091,-0.025,0.968
0.091,-0.025,0.968
0.091,-0.025,0.968
0.063,0.053,0.992
0.063,0.053,0.992
0.063,0.053,0.992
0.059,0.103,1.024
0.059,0.103,1.024
0.059,0.103,1.024
0.082,0.093,1.04
0.082,0.093,1.04
0.082,0.093,1.04
0.088,0.038,1.019
0.088,0.038,1.019
0.088,0.038,1.019
0.098,0.044,1.002
0.098,0.044,1.002
0.098,0.044,1.002
0.132,0.069,1.022
0.132,0.069,1.022
0.132,0.069,1.022
0.169,0.097,1.053
0.169,0.097,1.053
0.169,0.097,1.053
0.219,0.114,1.073
0.219,0.114,1.073
0.219,0.114,1.073
0.215,0.156,1.075
0.215,0.156,1.075
0.215,0.156,1.075
0.153,0.196,1.075
0.153,0.196,1.075
0.153,0.196,1.075
0.138,0.223,1.089
0.138,0.223,1.089
0.138,0.223,1.089
0.134,0.215,1.081
0.134,0.215,1.081
0.134,0.215,1.081
0.157,0.102,0.998
0.157,0.102,0.998
0.157,0.102,0.998
0.263,-0.013,0.976
0.263,-0.013,0.976
0.263,-0.013,0.976
0.257,-0.161,1.068
0.257,-0.161,1.068
0.257,-0.161,1.068
0.189,-0.316,1.049
0.189,-0.316,1.049
0.189,-0.316,1.049
0.161,-0.372,0.978
0.161,-0.372,0.978
0.161,-0.372,0.978
-0.001,-0.369,0.897
-0.001,-0.369,0.897
-0.001,-0.369,0.897
-0.024,-0.383,0.907
-0.024,-0.383,0.907
