acc_x,acc_y,acc_z
0.35,0.03,0.938
0.35,0.03,0.938
0.35,0.03,0.938
0.331,0.025,0.908
0.331,0.025,0.908
0.331,0.025,0.908
0.311,0.015,0.943
0.311,0.015,0.943
0.311,0.015,0.943
0.349,0.02,0.988
0.349,0.02,0.988
0.349,0.02,0.988
0.387,-0.009,0.96
0.387,-0.009,0.96
0.387,-0.009,0.96
0.414,-0.06,0.889
0.414,-0.06,0.889
0.414,-0.06,0.889
0.448,-0.101,0.838
0.448,-0.101,0.838
0.448,-0.101,0.838
0.496,-0.118,0.807
0.496,-0.118,0.807
0.496,-0.118,0.807
0.536,-0.125,0.832
0.536,-0.125,0.832
0.536,-0.125,0.832
0.518,-0.1,0.893
0.518,-0.1,0.893
0.518,-0.1,0.893
0.507,-0.071,0.908
0.507,-0.071,0.908
0.507,-0.071,0.908
0.479,-0.034,0.916
0.479,-0.034,0.916
0.479,-0.034,0.916
0.437,-0.007,0.917
0.437,-0.007,0.917
0.437,-0.007,0.917
0.422,0.008,0.947
0.422,0.008,0.947
0.422,0.008,0.947
0.391,0.005,0.972
0.391,0.005,0.972
0.391,0.005,0.972
0.373,-0.001,0.992
0.373,-0.001,0.992
0.373,-0.001,0.992
0.412,-0.018,0.988
0.412,-0.018,0.988
0.412,-0.018,0.988
0.477,-0.015,0.973
0.477,-0.015,0.973
0.477,-0.015,0.973
0.45,0.001,0.96
0.45,0.001,0.96
0.45,0.001,0.96
0.403,0.02,0.971
0.403,0.02,0.971
0.403,0.02,0.971
0.423,0.058,0.956
0.423,0.058,0.956
0.423,0.058,0.956
0.415,0.09,0.918
0.415,0.09,0.918
0.415,0.09,0.918
0.452,0.114,0.955
0.452,0.114,0.955
0.452,0.114,0.955
0.491,0.115,0.998
0.491,0.115,0.998
0.491,0.115,0.998
0.431,0.098,0.996
0.431,0.098,0.996
0.431,0.098,0.996
0.422,0.07,0.998
0.422,0.07,0.998
0.422,0.07,0.998
0.432,0.007,0.961
0.432,0.007,0.961
0.432,0.007,0.961
0.471,-0.058,0.915
0.471,-0.058,0.915
0.471,-0.058,0.915
0.501,-0.078,0.935
0.501,-0.078,0.935
0.501,-0.078,0.935
0.522,-0.077,0.961
0.522,-0.077,0.961
0.522,-0.077,0.961
0.45,-0.055,0.933
0.45,-0.055,0.933
0.45,-0.055,0.933
0.384,-0.042,0.92
0.384,-0.042,0.92
0.384,-0.042,0.92
0.348,-0.036,0.911
0.348,-0.036,0.911
0.348,-0.036,0.911
0.253,-0.005,0.882
0.253,-0.005,0.882
0.253,-0.005,0.882
0.205,0.032,0.867
0.205,0.032,0.867
0.205,0.032,0.867
0.199,0.039,0.918
0.199,0.039,0.918
0.199,0.039,0.918
0.236,0.02,1.013
0.236,0.02,1.013
0.236,0.02,1.013
0.226,0.006,1.032
0.226,0.006,1.032
0.226,0.006,1.032
0.198,-0.041,0.912
0.198,-0.041,0.912
0.198,-0.041,0.912
0.234,-0.08,0.705
0.234,-0.08,0.705
0.234,-0.08,0.705
0.45,-0.082,0.694
0.45,-0.082,0.694
0.45,-0.082,0.694
0.502,-0.072,0.862
0.502,-0.072,0.862
0.502,-0.072,0.862
0.464,-0.069,1.034
0.464,-0.069,1.034
0.464,-0.069,1.034
0.374,-0.053,1.084
0.374,-0.053,1.084
0.374,-0.053,1.084
0.285,-0.047,1.015
0.285,-0.047,1.015
0.285,-0.047,1.015
0.224,-0.054,0.927
0.224,-0.054,0.927
0.224,-0.054,0.927
0.27,-0.081,0.919
0.27,-0.081,0.919
0.27,-0.081,0.919
0.314,-0.079,0.964
0.314,-0.079,0.964
0.314,-0.079,0.964
0.375,-0.07,1.01
0.375,-0.07,1.01
0.375,-0.07,1.01
0.371,-0.1,0.987
0.371,-0.1,0.987
0.371,-0.1,0.987
0.382,-0.123,0.937
0.382,-0.123,0.937
0.382,-0.123,0.937
0.407,-0.148,0.893
0.407,-0.148,0.893
0.407,-0.148,0.893
0.424,-0.157,0.842
0.424,-0.157,0.842
0.424,-0.157,0.842
0.421,-0.146,0.777
0.421,-0.146,0.777
0.421,-0.146,0.777
0.471,-0.154,0.753
0.471,-0.154,0.753
0.471,-0.154,0.753
0.516,-0.126,0.87
0.516,-0.126,0.87
0.516,-0.126,0.87
0.491,-0.079,0.936
0.491,-0.079,0.936
0.491,-0.079,0.936
0.411,-0.064,0.908
0.411,-0.064,0.908
0.411,-0.064,0.908
0.395,-0.072,0.888
0.395,-0.072,0.888
0.395,-0.072,0.888
0.409,-0.061,0.898
0.409,-0.061,0.898
0.409,-0.061,0.898
